RDKIT_SMILES,SMILES,MHFP,first_class,second_class,type,num
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,[111397597 104111782  97181807 ...  57148411  43796935 151237944],Other PFASs,Si PFASs,4,1
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[217845993 215423514 107816900 ...  88808901  43796935  98778836],PFAA precursors,PolyFEACs,2,2
FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  12884121 ... 212683906  23638503  71007262],PFAA precursors,HFEs,2,3
CCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCC\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,2,4
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,[250618452 215423514 107816900 ...  88808901  43796935  24985098],Other PFASs,Polyfluoroalkanes,4,5
CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060   3627924 ... 194511214 281920279 151237944],Other PFASs,Amide derivatives,4,6
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=CI,[214631988 104111782  97181807 ... 330153186  14046279 151237944],PFAA precursors,PolyFAenes,2,7
O=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ON1C(=O)CCC1=O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)ON1C(=O)CCC1=O,[250618452  80780619  97181807 ...   8587256 281920279 151237944],"Polyfluoroalkyl acids, cyclic","PolyFCA derivatives, cyclic",3,8
O=CC(F)(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C=O,[250618452 429712812 107816900 ... 286019159 240371511 151237944],Other PFASs,others,4,9
CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,10
[N-]=[N+]=NCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCN=[N+]=[N-],[207361274  33988699  97181807 ...  16631887  43796935 151237944],Other PFASs,others,4,11
O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[NH4+].[O-]C(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[ 58689828 196028059 144793530 ... 291378977 101296679  36136210],PFAAs,PFECAs,1,12
