RDKIT_SMILES,SMILES,MHFP,first_class,second_class,type,num
Nc1c(Br)cc(C(F)(C(F)(F)F)C(F)(F)F)c2ncccc12,NC1=C(Br)C=C(C2=C1C=CC=N2)C(F)(C(F)(F)F)C(F)(F)F,[238422210  79512453  63689098 ...  17799215 111883495  38183906],Other PFASs,Aromatic PFASs,4,2094
O=C(O)CC(CC(=O)O)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CC(CC(O)=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 337706872 107816900 ...  39575178 281920279  13645418],Polyfluoroalkyl acids,PolyFCA derivatives,3,2095
CCCN(CC1CO1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCN(CC1CO1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[209909902  33988699  17313015 ...  56341859 138388023 151237944],"PFAA precursors, cyclic","PASF-based substances, cyclic",2,2096
O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[K+].[O-]C(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[166670721  33988699  17313015 ... 136323818  90036311 110011752],PFAA precursors,PASF-based substances,2,2097
CC(C)(C)C(O)=CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[Eu].[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452  48791578  19201563 ... 312840142 124409255  75695922],PFAA precursors,PFAK derivatives,2,2098
CC(C)(C)C(O)=CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[Eu].[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F.[2H]C(=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452  48791578  19201563 ... 312840142 124409255  75695922],PFAA precursors,PFAK derivatives,2,2099
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,[250618452 634028201  87855067 ...  37687752 281920279 151237944],PFAAs,PFdiCAs,1,2100
FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,[   853465   9635651 232751249 ... 203602024  69108455  36136210],Other PFASs,Perfluoroalkylethers,4,2101
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,2,2102
CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOP(O)(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  55416695  29302852],PFAA precursors,PASF-based substances,2,2103
OCC(O)CC(F)(F)C(F)(F)C(F)(F)F,OCC(O)CC(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106 107816900 ... 611624164  33758967 151237944],PFAA precursors,PolyFACs,2,2104
NCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 95360230  33988699  97181807 ... 575868148 237070775 151237944],Other PFASs,others,4,2105
[N-]=[N+]=C(C(=O)c1ccccc1)C(=O)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)C(=[N+]=[N-])C(=O)C1=CC=CC=C1,[142315565 111791931 105751502 ... 215679073  13677911  29516144],Other PFASs,Aromatic PFASs,4,2106
CCCCC/C=C(\F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC\C=C(/F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 107567300 107816900 ...  65874932 135379655 151237944],PFAA precursors,PolyFAenes,2,2107
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,[   853465 398765097  87855067 ...  37687752 101296679 151237944],PFAAs,PFECAs,1,2108
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)CBr,[250618452 104111782  97181807 ...  19892185 124761079 151237944],Other PFASs,Polyfluoroalkanes,4,2109
CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,2110
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,2111
CC(C)(O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 427146519 106717670 ... 186412826 281920279 151237944],Other PFASs,others,4,2112
COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[202062147 541103106 107816900 ...  35740225 124409255  75695922],Polyfluoroalkyl acids,PolyFCA derivatives,3,2113
O=P(O)(O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(COP(O)(O)=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[207530443  71278405  95504826 ... 171882282  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,2114
FC(F)(F)C(F)(F)C(F)(F)/C=N/c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)\C=N\C1=CC=CC=C1,[138816069 312252844 107816900 ... 215679073 107767783 151237944],Other PFASs,Aromatic PFASs,4,2115
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801  18439196 ...  15279529  43796935  22160906],PFAA precursors,n:2 fluorotelomer-based substances,2,2116
C=C(C)C(=O)OCC(C)OC(=O)Nc1cc(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1C,[H]N(C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC(N([H])C(=O)OC(C)COC(=O)C(C)=C)=C(C)C=C1,[  1426846  33988699  17313015 ... 136323818 111393351  22160906],Other PFASs,Aromatic PFASs,4,2117
Nc1cc(N)cc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)c1,NC1=CC(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)=CC(N)=C1,[ 43491808  79512453 113167786 ... 124699056  29011671 225036896],Other PFASs,Aromatic PFASs,4,2118
C=CC[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC=C,[250618452 104111782  82667786 ...  21131108 267775079 141849448],Other PFASs,"(Hg,Sn,Ge,Sb,Se,B) PFASs",4,2119
NC(=C[N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(=C[N+]([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[240838355 104111782  97181807 ... 141109257 281920279  98778908],Other PFASs,others,4,2120
C[N+](C)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[I-].C[N+](C)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[187923589 215423514 107816900 ...  88808901  43796935 151237944],Other PFASs,others,4,2121
CC(C)[SiH](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(C)C,CC(C)[SiH](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(C)C,[250618452 104111782  97181807 ...  93794068  43796935  35641632],Other PFASs,Si PFASs,4,2122
CCN(CCOC(=O)Nc1ccc(C)c(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)NC1=CC=C(C)C(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818 111393351 151237944],Other PFASs,Aromatic PFASs,4,2123
CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)CC(C)C,CCC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)CC(C)C,[ 52793636  34348060  17313015 ... 183967038 336304663  11852866],Other PFASs,Aromatic PFASs,4,2124
O=C(Cl)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(Cl)=O,[111000236 104111782  97181807 ... 171882282  43796935 151237944],PFAA precursors,Acid chloride,2,2125
CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935 151237944],PFAA precursors,HFCs,2,2126
C#CC(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C#C)C(F)(F)F,[ 80516319 722753583 105689404 ... 297752585   6791511 261466434],Other PFASs,others,4,2127
COC(O)C(F)(F)C(F)(F)C(F)(F)F,COC(O)C(F)(F)C(F)(F)C(F)(F)F,[166634603  17810509 107816900 ... 611624164 281920279  83234406],PFAA precursors,PolyFEACs,2,2128
C=C(C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801 107816900 ...  88808901  43796935  22160906],PFAA precursors,n:2 fluorotelomer-based substances,2,2129
OC(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,OC(C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F,[162621131 312252844 107816900 ... 215679073 281920279  29516144],Other PFASs,Aromatic PFASs,4,2130
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  14316170 ... 291378977  99703927 151237944],PFAAs,PFCA-ester derivatives,1,2131
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCBr,[250618452 104111782  97181807 ...  16631887  43796935 151237944],Other PFASs,Polyfluoroalkanes,4,2132
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)F,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,[250618452 429712812  87855067 ...  37687752 240371511 151237944],Polyfluoroalkyl acids,PolyFCAs,3,2133
OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,[198202562 196028059  11501872 ... 145799486 101296679  81710418],PFAA precursors,PolyFEACs,2,2134
CC1C2CC(C1SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1C(=O)OC(=O)C21,CC1C2CC(C1SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1C2C(=O)OC1=O,[    69880  22192853  57174512 ... 171882282  43796935 108474474],"PFAA precursors, cyclic","n:2 fluorotelomer-based substances, cyclic",2,2135
O=[PH](O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[153755589  71278405  97181807 ... 171882282  43796935  12204236],Other PFASs,others,4,2136
O=C(Nc1ncccn1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(=O)NC1=NC=CC=N1)C(F)(F)F,[   853465   9635651 107816900 ...  17799215  23638503  71007262],Other PFASs,Aromatic PFASs,4,2137
C=C(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846  33988699  17313015 ... 136323818 138388023  22160906],PFAA precursors,PASF-based substances,2,2138
O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,[K+].[H]N(C(=O)C1=C(C([O-])=O)C(Cl)=C(Cl)C(Cl)=C1Cl)C1=CC(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,[ 29171094 104111782  17313015 ...  25560912  59872263   8690988],Other PFASs,Aromatic PFASs,4,2139
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...   8587256  40226743 151237944],Polyfluoroalkyl acids,PolyFCAs,3,2140
FC(F)=C(F)OC(F)(F)C(F)(Oc1c(F)c(F)c(F)c(F)c1F)C(F)(F)F,FC(F)=C(F)OC(F)(F)C(F)(OC1=C(F)C(F)=C(F)C(F)=C1F)C(F)(F)F,[   853465  30783190   2321880 ... 344765240  69108455  10033134],Other PFASs,Aromatic PFASs,4,2141
CCCOC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,CCCOC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 218510692  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,3,2142
COc1c2occc2c(OC)c2c(=O)cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)oc12,COC1=C2OC=CC2=C(OC)C2=C1OC(=CC2=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 46692570 151547136  63689098 ...  44438216 226660855 107724166],Other PFASs,Aromatic PFASs,4,2143
CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)CC,CCC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)CC,[ 52793636  34348060  17313015 ...  83238084 336304663  11852866],Other PFASs,Aromatic PFASs,4,2144
FC(F)(F)C(F)(F)C(F)(F)C(Cl)CCl,FC(F)(F)C(F)(F)C(F)(F)C(Cl)CCl,[111000236 267329837 101186573 ...  34400313 144535159 151237944],Other PFASs,Polyfluoroalkanes,4,2145
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[217845993 104111782  97181807 ... 171882282  43796935  98778836],PFAA precursors,PolyFEACs,2,2146
CCOS(=O)(=O)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOS(=O)(=O)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  49018156  14316170 ...  16631887 281920279 101347708],Polyfluoroalkyl acids,PolyFSA derivatives,3,2147
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCI,[250618452 104111782  97181807 ...  16631887 281920279  24985098],Other PFASs,Polyfluoroalkanes,4,2148
CCOC(=O)/C=C/S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)\C=C\S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 107055568  14316170 ... 253630925  95211479  29302852],Polyfluoroalkyl acids,PolyFCA derivatives,3,2149
C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[I-].C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  9757136   8492060  97181807 ... 194511214  99043863 151237944],Other PFASs,Amide derivatives,4,2150
CCCCSc1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,CCCCSC1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636  34348060  63360499 ... 183967038 198913703  11852866],Other PFASs,Aromatic PFASs,4,2151
CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 177846928 281920279 151237944],PFAA precursors,HFCs,2,2152
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,[250618452  58869667  97181807 ...  88808901  54206375 151237944],"Other PFASs, cyclic","Perfluoroalkanes, cyclic",4,2153
C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[ 43491808  49018156 107816900 ...  88808901  43796935 151237944],Other PFASs,others,4,2154
CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,2,2155
FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[146045426 104111782  97181807 ...  37796763  14046279 151237944],PFAA precursors,PolyFAenes,2,2156
FC(F)(F)C(F)(F)C(F)(F)C(Cc1ccc(Br)cc1)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(CC1=CC=C(Br)C=C1)(C(F)(F)F)C(F)(F)F,[250618452 312252844  84382633 ...  92201024 281920279  93860188],Other PFASs,Aromatic PFASs,4,2157
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801  18439196 ...  15279529 168823863  22160906],PFAA precursors,n:2 fluorotelomer-based substances,2,2158
O=C(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)=O,[250618452 104111782  97181807 ... 115490462 174732839 108111600],Other PFASs,others,4,2159
C=CC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 136323818 138388023  81500836],PFAA precursors,PASF-based substances,2,2160
CC(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 48185527 104111782  97181807 ... 524294023 281920279  87424764],Other PFASs,others,4,2161
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,[250618452 104111782  97181807 ...  16631887  43796935  24985098],Other PFASs,Polyfluoroalkanes,4,2162
O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-][N+](=O)C1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[  7060930   8492060  97181807 ...  54552999  72176439 151237944],Other PFASs,Aromatic PFASs,4,2163
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529 281920279 151237944],PFAA precursors,n:2 fluorotelomer-based substances,2,2164
C=CCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(=O)OCC=C)C(F)(F)F,[   853465  90791381 107816900 ...   1095206  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,3,2165
CC(C)([N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)([N+]([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 144813810  26892103  62631994],Other PFASs,others,4,2166
O=C(F)C(F)(OC(F)(F)C(F)(F)OC(F)(C(=O)F)C(F)(F)F)C(F)(F)F,FC(=O)C(F)(OC(F)(F)C(F)(F)OC(F)(C(F)=O)C(F)(F)F)C(F)(F)F,[   853465 196028059 108979564 ...  65408281 101296679 261466434],Other PFASs,PFPEs,4,2167
C=C(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846  33988699  17313015 ... 136323818 138388023  22160906],PFAA precursors,PASF-based substances,2,2168
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,[ 21375283  33988699  17313015 ... 136323818 138388023 151237944],Other PFASs,others,4,2169
